College ,Rating,Course,Duration,City,State,Country,Average Fees,Acceptance Rate
Indira Gandhi National Open University,3.88, Automation and Networking,2 Years,New Delhi,Delhi,India,57191.80328,71.92%
Indian Maritime University,3.45, B. Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,68.48%
ACME College of Engineering,3.2, B. Tech Civil Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,47.04%
ACME College of Engineering,3.2, B. Tech Computer Science and Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,75.71%
ACME College of Engineering,3.2, B. Tech Electrical and Electronics Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,79.89%
ACME College of Engineering,3.2, B. Tech Electronics and Communication Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,57.09%
ACME College of Engineering,3.2, B. Tech Information Technology,4 Years,Saunda,Uttar Pradesh,India,300000,88.02%
Aarupadai Veedu Institute of Technology,2.47, B.Arch,4 Years,Karunguzhipallam,Tamil Nadu,India,234642.8571,64.35%
Adhiyamaan College of Engineering,2.69, B.Arch,4 Years,Krishnagiri,Tamil Nadu,India,235437.5,57.96%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Arch,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,54.68%
Indira Gandhi Institute of Technology,3.86, B.Arch,4 Years,Khalapal,Odisha,India,161636.3636,83.65%
Adesh Institute of Technology,2.33, B.Com,3 Years,Gharuan,Punjab,India,273000,50.94%
Abhilashi University,3.73, B.Com,3 Years,Chail-Chowk,Himachal Pradesh,India,251833.3333,45.17%
Indira Gandhi National Open University,3.88, B.Com,3 Years,New Delhi,Delhi,India,57191.80328,57.02%
Indira Gandhi National Open University,3.88, B.Com Accountancy and Finance Major,3 Years,New Delhi,Delhi,India,57191.80328,80.01%
Indira Gandhi National Open University,3.88, B.Com Corporate Affairs and Administration Major,3 Years,New Delhi,Delhi,India,57191.80328,49.41%
Indira Gandhi National Open University,3.88, B.Com Financial and Cost Accounting Major,3 Years,New Delhi,Delhi,India,57191.80328,88.76%
Adamas University,3.03, B.Com Hons,3 Years,Kolkata,West Bengal,India,332156.25,63.92%
Academy of Maritime Education and Training,2.53, B.Com Logistics and Computer Applications,3 Years,Kanathur Reddikuppam,Tamil Nadu,India,600000,48.38%
Indian Institute of Technology Guwahati ,3.45, B.Des,4 Years,Guwahati,Assam,India,254171.9512,62.07%
Adamas University,3.03, B.Ed,2 Years,Kolkata,West Bengal,India,332156.25,82.45%
Indira Gandhi National Open University,3.88, B.Ed,2 Years,New Delhi,Delhi,India,57191.80328,76.41%
Indira Gandhi National Open University,3.88, B.Lib.I.Sc,2 Years,New Delhi,Delhi,India,57191.80328,74.82%
Adamas University,3.03, B.Pharma,2 Years,Kolkata,West Bengal,India,332156.25,59.94%
Abhilashi University,3.73, B.Pharma Allotropy,2 Years,Chail-Chowk,Himachal Pradesh,India,251833.3333,67.03%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture,3 Years,Guntur,Andhra Pradesh,India,66596,51.03%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture,3 Years,Guntur,Andhra Pradesh,India,66596,47.33%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture,3 Years,Guntur,Andhra Pradesh,India,66596,88.14%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture,3 Years,Guntur,Andhra Pradesh,India,66596,80.58%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture Hons,3 Years,Guntur,Andhra Pradesh,India,66596,64.44%
Indian Maritime University,3.45, B.Sc Applied Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,79.68%
Abhilashi University,3.73, B.Sc B.Ed,3 Years,Chail-Chowk,Himachal Pradesh,India,251833.3333,53.66%
Adamas University,3.03, B.Sc Biochemistry Major,3 Years,Kolkata,West Bengal,India,332156.25,88.52%
Adamas University,3.03, B.Sc Biotechnology Hons,3 Years,Kolkata,West Bengal,India,332156.25,79.81%
Adamas University,3.03, B.Sc Botany Hons,3 Years,Kolkata,West Bengal,India,332156.25,48.94%
Adamas University,3.03, B.Sc Chemistry Hons,3 Years,Kolkata,West Bengal,India,332156.25,77.62%
Acharya NG Ranga Agricultural University,3.62, B.Sc Community Science Hons,3 Years,Guntur,Andhra Pradesh,India,66596,61.93%
Academy of Maritime Education and Training,2.53, B.Sc Data Science Hons,3 Years,Kanathur Reddikuppam,Tamil Nadu,India,600000,73.59%
Adamas University,3.03, B.Sc Economics Hons,3 Years,Kolkata,West Bengal,India,332156.25,57.42%
Adamas University,3.03, B.Sc Environmental Science Hons,3 Years,Kolkata,West Bengal,India,332156.25,76.52%
Indira Gandhi National Open University,3.88, B.Sc General,3 Years,New Delhi,Delhi,India,57191.80328,45.99%
Adamas University,3.03, B.Sc Geography Hons,3 Years,Kolkata,West Bengal,India,332156.25,62.86%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,69.46%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,65.35%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,67.20%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,57.92%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,48.07%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,81.84%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,54.85%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,79.49%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,69.68%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,69.36%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,76.89%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,69.45%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,51.70%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,87.27%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,51.94%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,65.37%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,50.13%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,69.35%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,85.61%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,68.07%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,83.51%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,51.24%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,55.67%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,65.60%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,81.24%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,49.93%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,85.40%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,65.58%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,53.10%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,54.81%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,58.06%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,67.90%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,66.93%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,86.38%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,57.06%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,57.48%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,49.66%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration,3 Years,New Delhi,Delhi,India,57191.80328,64.31%
Indira Gandhi National Open University,3.88, B.Sc Hospitality and Hotel Administration Vegetarian Cuisine,3 Years,New Delhi,Delhi,India,57191.80328,75.53%
Adamas University,3.03, B.Sc LLB Hons,3 Years,Kolkata,West Bengal,India,332156.25,82.83%
Adamas University,3.03, B.Sc Mathematics Hons,3 Years,Kolkata,West Bengal,India,332156.25,84.44%
Adamas University,3.03, B.Sc Microbiology Hons,3 Years,Kolkata,West Bengal,India,332156.25,70.27%
Academy of Maritime Education and Training,2.53, B.Sc Nautical Science,3 Years,Kanathur Reddikuppam,Tamil Nadu,India,600000,52.88%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,45.29%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,71.42%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,58.71%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,47.15%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,58.30%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,78.46%
Indian Maritime University,3.45, B.Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,45.57%
Adamas University,3.03, B.Sc Physics Hons,3 Years,Kolkata,West Bengal,India,332156.25,46.82%
Indira Gandhi National Open University,3.88, B.Sc Physics Major,3 Years,New Delhi,Delhi,India,57191.80328,84.14%
Academy of Maritime Education and Training,2.53, B.Sc Robotics and Artificial Intelligence Hons,3 Years,Kanathur Reddikuppam,Tamil Nadu,India,600000,77.45%
Indian Maritime University,3.18, B.Sc Ship Building and Repair,3 Years,Kochi,Kerala,India,443750,71.38%
Indian Maritime University,3.45, B.Sc Ship Building and Repair,3 Years,Chennai,Tamil Nadu,India,597763.1579,77.63%
Adamas University,3.03, B.Sc Statistics and Data Analytics Hons,3 Years,Kolkata,West Bengal,India,332156.25,71.38%
Aditya Silver Oak Institute of Technology,2.03, B.Tech Aeronautical Engineering,4 Years,Ahmedabad,Gujarat,India,252000,62.56%
ABR College of Engineering and Technology,3.07, B.Tech Agricultural Engineering,4 Years,Somanapalle,Andhra Pradesh,India,112340,70.08%
Aditya Engineering College,3.12, B.Tech Agricultural Engineering,4 Years,Surampalem,Andhra Pradesh,India,163440,70.08%
ACN College of Engineering and Management Studies,3.17, B.Tech Agricultural Engineering,4 Years,Chherat,Uttar Pradesh,India,249333.3333,54.84%
Acharya NG Ranga Agricultural University,3.62, B.Tech Agricultural Engineering,4 Years,Guntur,Andhra Pradesh,India,66596,85.96%
Acharya NG Ranga Agricultural University,3.62, B.Tech Agricultural Engineering,4 Years,Guntur,Andhra Pradesh,India,66596,75.51%
Acharya NG Ranga Agricultural University,3.62, B.Tech Agricultural Engineering,4 Years,Guntur,Andhra Pradesh,India,66596,55.48%
Acharya NG Ranga Agricultural University,3.62, B.Tech Agricultural Engineering and Technology,4 Years,Guntur,Andhra Pradesh,India,66596,52.69%
Indian Institute of Technology Mandi ,3.97, B.Tech and M.Tech Bioengineering Dual Degree,4 Years,Suran,Himachal Pradesh,India,353350,64.17%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Ceramic Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,58.86%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Civil Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,65.73%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Computer Science and Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,59.73%
Indian Institute of Technology Bhubaneswar ,3.48, B.Tech and M.Tech Computer Science and Engineering Dual Degree,4 Years,Bhubaneshwar,Odisha,India,518128.2353,85.79%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Engineering Physics,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,74.46%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Industrial Chemistry,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,54.74%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Materials Science and Technology,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,46.83%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Mathematics and Computing,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,87.95%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Mechanical Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,47.09%
Indian Institute of Technology Ropar ,3.43, B.Tech and M.Tech Mechanical Engineering Dual Degree,4 Years,Rupnagar,Punjab,India,358525.4545,57.29%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Metallurgical Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,64.33%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Mining Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,80.76%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech and M.Tech Pharmacy Integrated,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,76.44%
Indian Institute of Technology Indian School of Mines Dhanbad ,3.43, B.Tech and MBA Mining Engineering,4 Years,Dhanbad,Jharkhand,India,265595.7447,55.27%
Adi Shankara Institute of Engineering and Technology,3.65, B.Tech Applied Electronics and Instrumentation Engineering,4 Years,Kalady,Kerala,India,279000,55.27%
Indian Institute of Technology Hyderabad ,3.96, B.Tech Artificial Intelligence,4 Years,Hyderabad,Telangana,India,288884.5946,77.24%
Aadishwar College of Technology,3.15, B.Tech Automobile Engineering,4 Years,Bhoyan Rathod,Gujarat,India,263500,67.60%
AD Patel Institute of Technology,3.96, B.Tech Automobile Engineering,4 Years,Vitthal Udyognagar INA,Gujarat,India,384727.2727,81.55%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech Biochemical Engineering and M.Tech Biochemical Engineering and Biotechnology,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,45.32%
Indian Institute of Technology Jodhpur ,4.36, B.Tech Bioengineering,4 Years,Jodhpur,Rajasthan,India,503615.3846,70.37%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech Bioengineering and M.Tech Biomedical Technology,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,64.52%
Adhiyamaan College of Engineering,2.69, B.Tech Biotechnology,4 Years,Krishnagiri,Tamil Nadu,India,235437.5,60.64%
Adamas University,3.03, B.Tech Biotechnology,4 Years,Kolkata,West Bengal,India,332156.25,60.64%
Indian Institute of Technology Guwahati ,3.45, B.Tech Biotechnology,4 Years,Guwahati,Assam,India,254171.9512,57.80%
Indian Institute of Technology Jodhpur ,4.36, B.Tech Biotechnology,4 Years,Jodhpur,Rajasthan,India,503615.3846,47.16%
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Tech Ceramic Engineering,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,81.41%
Aditya Silver Oak Institute of Technology,2.03, B.Tech Chemical Engineering,4 Years,Ahmedabad,Gujarat,India,252000,81.55%
Indian Institute of Technology Tirupati ,2.48, B.Tech Chemical Engineering,4 Years,Tirupati,Andhra Pradesh,India,304338.2353,50.72%
Adhiyamaan College of Engineering,2.69, B.Tech Chemical Engineering,4 Years,Krishnagiri,Tamil Nadu,India,235437.5,50.72%
Aadishwar College of Technology,3.15, B.Tech Chemical Engineering,4 Years,Bhoyan Rathod,Gujarat,India,263500,72.50%
Adhiparasakthi Engineering College,3.2, B.Tech Chemical Engineering,4 Years,Kancheepuram,Tamil Nadu,India,160000,50.72%
Indian Institute of Technology Patna ,3.24, B.Tech Chemical Engineering,4 Years,Patna,Bihar,India,322481.6667,77.31%
Indian Institute of Technology Indian School of Mines Dhanbad ,3.43, B.Tech Chemical Engineering,4 Years,Dhanbad,Jharkhand,India,265595.7447,60.49%
Indian Institute of Technology Ropar ,3.43, B.Tech Chemical Engineering,4 Years,Rupnagar,Punjab,India,358525.4545,50.25%
Indian Institute of Technology Guwahati ,3.45, B.Tech Chemical Engineering,4 Years,Guwahati,Assam,India,254171.9512,88.86%
Indian Institute of Technology Gandhinagar ,3.78, B.Tech Chemical Engineering,4 Years,Gandhinagar,Gujarat,India,432550,68.12%
Indian Institute of Technology Jammu ,3.81, B.Tech Chemical Engineering,4 Years,Jammu,Jammu and Kashmir,India,612000,76.01%
Indira Gandhi Institute of Technology,3.86, B.Tech Chemical Engineering,4 Years,Khalapal,Odisha,India,161636.3636,64.60%
Indian Institute of Technology Hyderabad ,3.96, B.Tech Chemical Engineering,4 Years,Hyderabad,Telangana,India,288884.5946,73.34%
Indian Institute of Technology Gandhinagar ,3.78, B.Tech Chemical Engineering with Second Major in Electrical Engineering,4 Years,Gandhinagar,Gujarat,India,432566,71.72%
Indian Institute of Technology Gandhinagar ,3.78, B.Tech Chemical Engineering with Second Major in Mechanical Engineering,4 Years,Gandhinagar,Gujarat,India,432567,76.28%
Indian Institute of Technology Guwahati ,3.45, B.Tech Chemical Science and Technology,4 Years,Guwahati,Assam,India,254171.9512,58.09%
Aditya Silver Oak Institute of Technology,2.03, B.Tech Civil Engineering,4 Years,Ahmedabad,Gujarat,India,252000,58.09%
Aditya College of Engineering,2.09, B.Tech Civil Engineering,4 Years,Madanapalle,Andhra Pradesh,India,140000,78.35%
ACE Engineering College,2.11, B.Tech Civil Engineering,4 Years,Ghatkesar,Telangana,India,272000,78.35%
Indian Institute of Technology Tirupati ,2.48, B.Tech Civil Engineering,4 Years,Tirupati,Andhra Pradesh,India,304338.2353,58.81%
Aditya Institute of Technology and Management,2.49, B.Tech Civil Engineering,4 Years,K Kotturu,Andhra Pradesh,India,159875,58.09%
ABSS Institute of Technology,2.57, B.Tech Civil Engineering,4 Years,Meerut,Uttar Pradesh,India,210692.3077,60.91%
Accurate Institute of Management and Technology,2.6, B.Tech Civil Engineering,4 Years,Greater Noida,Uttar Pradesh,India,340300,68.96%
Adarsh College of Engineering,2.7, B.Tech Civil Engineering,4 Years,Chebrolu,Andhra Pradesh,India,93318.18182,45.86%
Adarsh Institute of Technology and Research Center,2.97, B.Tech Civil Engineering,4 Years,Khambale Bhalvani,Maharashtra,India,300200,83.54%
Adamas University,3.03, B.Tech Civil Engineering,4 Years,Kolkata,West Bengal,India,332156.25,66.92%
Aditya College of Engineering,3.05, B.Tech Civil Engineering,4 Years,Surampalem,Andhra Pradesh,India,150500,66.92%
ACE College of Engineering,3.06, B.Tech Civil Engineering,4 Years,Thiruvananthapuram,Kerala,India,216000,58.00%
Indian Institute of Technology Palakkad ,3.06, B.Tech Civil Engineering,4 Years,Palakkad,Kerala,India,825000,57.87%
ABR College of Engineering and Technology,3.07, B.Tech Civil Engineering,4 Years,Somanapalle,Andhra Pradesh,India,112340,50.31%
Aditya Engineering College,3.12, B.Tech Civil Engineering,4 Years,Surampalem,Andhra Pradesh,India,163440,66.92%
Aadishwar College of Technology,3.15, B.Tech Civil Engineering,4 Years,Bhoyan Rathod,Gujarat,India,263500,51.70%
A1 Global Institute of Engineering and Technology,3.21, B.Tech Civil Engineering,4 Years,Markapur Rural,Andhra Pradesh,India,113545.4545,65.65%
Abhinav Hi-Tech College of Engineering,3.24, B.Tech Civil Engineering,4 Years,Hyderabad,Telangana,India,125153.8462,68.79%
Indian Institute of Technology Patna ,3.24, B.Tech Civil Engineering,4 Years,Patna,Bihar,India,322481.6667,55.89%
Indic Institute of Design and Research,3.24, B.Tech Civil Engineering,4 Years,Tarakai,Odisha,India,211142.8571,52.03%
Aarushi Group of Institutions,3.28, B.Tech Civil Engineering,4 Years,Warangal,Telangana,India,234642.8571,64.20%
Achariya College of Engineering Technology,3.3, B.Tech Civil Engineering,4 Years,Villianur,Puducherry,India,104285.7143,54.37%
